ds,actual,consensus_pred,panel_consensus_mean,panel_consensus_median,panel_consensus_count,panel_consensus_std,panel_pred,error,kalman_pred,predicted,selected_rule
2021-06-01,850.0,514.0,788.0,788.0,3.0,58.0,788.0,62.0,425.4942797981791,788.0,warmup_panel
2021-07-01,943.0,825.0,925.0,925.0,3.0,25.0,925.0,18.0,891.3632050931002,925.0,warmup_panel
2021-08-01,235.0,717.0,675.0,675.0,3.0,175.0,675.0,-440.0,490.92371210483316,675.0,warmup_panel
2021-09-01,194.0,453.0,400.0,400.0,1.0,,400.0,-206.0,342.3567059659536,400.0,warmup_panel
2021-10-01,531.0,401.0,500.0,500.0,1.0,,500.0,31.0,187.59729464617763,500.0,warmup_panel
2021-11-01,210.0,507.0,495.0,495.0,3.0,5.0,495.0,-285.0,369.09460673759077,495.0,warmup_panel
2021-12-01,199.0,399.0,350.0,350.0,1.0,,350.0,-151.0,454.03386321576363,350.0,warmup_panel
2022-01-01,467.0,250.0,166.66666666666666,158.33333333333331,4.0,23.570226039551585,166.66666666666666,300.33333333333337,489.4430531989474,166.66666666666666,warmup_panel
2022-02-01,678.0,392.0,361.6666666666667,355.83333333333337,4.0,27.78888666755511,361.6666666666667,316.3333333333333,327.466324534013,361.6666666666667,warmup_panel
2022-03-01,431.0,430.0,471.6666666666667,473.33333333333337,4.0,16.49915822768611,471.6666666666667,-40.666666666666686,362.7189411273907,471.6666666666667,warmup_panel
2022-04-01,428.0,416.0,401.5,401.0,5.0,5.408326913195984,401.5,26.5,252.63225369276446,401.5,warmup_panel
2022-05-01,390.0,353.0,306.6666666666667,308.33333333333337,4.0,4.714045207910317,306.6666666666667,83.33333333333331,263.60757841384077,306.6666666666667,warmup_panel
2022-06-01,372.0,278.0,293.75,293.75,5.0,67.67338841819581,293.75,78.25,339.69533390682864,293.75,warmup_panel
2022-07-01,528.0,261.0,266.6666666666667,258.33333333333337,4.0,23.570226039551585,266.6666666666667,261.3333333333333,342.7178462088319,266.6666666666667,warmup_panel
2022-08-01,315.0,282.0,328.75,328.75,5.0,40.67785023818245,328.75,-13.75,290.8721547909306,328.75,warmup_panel
2022-09-01,263.0,263.0,276.6666666666667,278.33333333333337,4.0,20.548046676563256,276.6666666666667,-13.666666666666686,233.31542953172394,276.6666666666667,warmup_panel
2022-10-01,261.0,198.0,235.0,225.0,5.0,23.18404623873926,235.0,26.0,6.4975646575710355,235.0,warmup_panel
2022-11-01,263.0,200.0,220.75,220.0,5.0,9.575359001102779,220.75,42.25,159.22921421492904,220.75,warmup_panel
2022-12-01,223.0,201.0,201.25,200.0,5.0,12.43734296383275,201.25,21.75,316.898495082979,201.25,warmup_panel
2023-01-01,517.0,175.0,211.66666666666666,205.83333333333331,4.0,27.78888666755511,211.66666666666666,305.33333333333337,411.2104856909574,211.66666666666666,warmup_panel
2023-02-01,311.0,188.0,254.5,254.5,5.0,48.66466890876789,254.5,56.5,281.5001866171928,254.5,warmup_panel
2023-03-01,236.0,225.0,242.5,242.5,5.0,8.2915619758885,242.5,-6.5,191.64892723007392,242.5,warmup_panel
2023-04-01,253.0,177.0,192.0,192.0,5.0,9.055385138137417,192.0,61.0,161.24811280990414,192.0,warmup_panel
2023-05-01,339.0,178.0,197.0,197.0,5.0,5.873670062235365,197.0,142.0,188.25611857788172,197.0,warmup_panel
2023-06-01,209.0,214.0,207.0,207.0,5.0,22.68259244442751,207.0,2.0,245.30625058859854,207.0,gate:200.00
2023-07-01,187.0,184.0,211.25,211.25,5.0,29.65952629426168,211.25,-24.25,181.45780231551382,211.25,gate:200.00
2023-08-01,187.0,164.0,178.0,178.0,5.0,13.765899897936205,178.0,9.0,174.24559978695936,178.0,gate:200.00
2023-09-01,336.0,148.0,168.25,165.0,5.0,25.77183540223707,168.25,167.75,177.36959139985572,168.25,gate:200.00
2023-10-01,150.0,164.0,158.0,158.0,5.0,19.544820285692065,158.0,-8.0,160.14917711129462,158.0,gate:200.00
2023-11-01,164.0,173.0,172.5,172.5,5.0,21.650635094610966,172.5,-8.5,145.854530311284,172.5,gate:200.00
